Temperature,Energy,Accept,Improve,Elapsed,Remaining
25000.0,1.75027027739e+18,   0:00:00
24770.79862231919,1.75027027739e+18,0.0,0.0,   0:00:01,   0:19:22
24543.69857549961,1.75027027739e+18,0.0,0.0,   0:00:02,   0:14:56
24318.680594424128,1.75027027739e+18,0.0,0.0,   0:00:02,   0:12:21
24095.72559059926,1.75027027739e+18,0.0,0.0,   0:00:03,   0:12:19
23874.814650535896,1.75027027739e+18,0.0,0.0,   0:00:03,   0:11:17
23655.929034144825,1.75027027739e+18,1.0,0.0,   0:00:04,   0:11:25
23439.050173147007,1.75027027739e+18,0.0,0.0,   0:00:05,   0:11:31
23224.15966949841,1.32779124493e+18,1.0,1.0,   0:00:06,   0:11:35
23011.239293829283,1.32779124493e+18,0.0,0.0,   0:00:06,   0:11:38
22800.270983897743,1.32779124493e+18,0.0,0.0,   0:00:07,   0:11:10
22591.236843057537,1.32779124493e+18,0.0,0.0,   0:00:07,   0:10:48
22384.119138739843,1.32779124493e+18,0.0,0.0,   0:00:08,   0:10:29
22178.900300949022,1.32779124493e+18,0.0,0.0,   0:00:08,   0:10:35
21975.562920772107,1.32779124493e+18,0.0,0.0,   0:00:09,   0:10:41
21774.089748902014,1.32779124493e+18,0.0,0.0,   0:00:10,   0:10:46
21574.463694174257,1.32779124493e+18,1.0,1.0,   0:00:11,   0:10:50
21376.66782211708,1.32779124493e+18,0.0,0.0,   0:00:11,   0:10:54
21180.68535351491,1.32779124493e+18,0.0,0.0,   0:00:12,   0:10:57
20986.499662984937,1.32779124493e+18,0.0,0.0,   0:00:12,   0:10:44
20794.094277566775,1.32779124493e+18,1.0,1.0,   0:00:13,   0:10:47
20603.452875325056,1.32779124493e+18,0.0,0.0,   0:00:14,   0:10:41
20414.55928396481,1.32779124493e+18,0.0,0.0,   0:00:14,   0:10:35
20227.397479459556,1.32779124493e+18,0.0,0.0,   0:00:15,   0:10:37
20041.95158469198,1.32779124493e+18,0.0,0.0,   0:00:16,   0:10:40
19858.205868107038,1.32779124493e+18,0.0,0.0,   0:00:16,   0:10:42
19676.144742377466,1.32779124493e+18,0.0,0.0,   0:00:17,   0:10:45
19495.752763081466,1.32779124493e+18,0.0,0.0,   0:00:18,   0:10:39
19317.014627392557,1.32779124493e+18,1.0,0.0,   0:00:18,   0:10:42
19139.915172781406,1.32779124493e+18,0.0,0.0,   0:00:19,   0:10:33
18964.43937572959,1.32779124493e+18,0.0,0.0,   0:00:20,   0:10:35
18790.572350455135,1.32779124493e+18,0.0,0.0,   0:00:20,   0:10:37
18618.299347649725,1.32779124493e+18,0.0,0.0,   0:00:21,   0:10:30
18447.605753227523,1.32779124493e+18,0.0,0.0,   0:00:21,   0:10:23
18278.477087085434,1.32779124493e+18,0.0,0.0,   0:00:22,   0:10:25
18110.89900187475,1.32779124493e+18,0.0,0.0,   0:00:23,   0:10:26
17944.857281784043,1.32779124493e+18,0.0,0.0,   0:00:23,   0:10:20
17780.33784133323,1.32779124493e+18,0.0,0.0,   0:00:24,   0:10:14
17617.32672417867,1.32779124493e+18,0.0,0.0,   0:00:24,   0:10:16
17455.810101929284,1.32779124493e+18,0.0,0.0,   0:00:25,   0:10:17
17295.77427297341,1.32779124493e+18,0.0,0.0,   0:00:25,   0:10:12
17137.20566131654,1.32779124493e+18,0.0,0.0,   0:00:26,   0:10:06
16980.090815429612,1.32779124493e+18,0.0,0.0,   0:00:27,   0:10:08
16824.416407107943,1.32779124493e+18,0.0,0.0,   0:00:27,   0:10:05
16670.169230340554,1.32779124492e+18,1.0,1.0,   0:00:28,   0:10:00
16517.3362001899,1.32779124492e+18,0.0,0.0,   0:00:28,   0:09:55
16365.904351681873,1.32779124492e+18,0.0,0.0,   0:00:28,   0:09:51
16215.86083870596,1.32779124492e+18,1.0,0.0,   0:00:29,   0:09:47
16067.192932925493,1.32779124492e+18,0.0,0.0,   0:00:30,   0:09:48
15919.888022697894,1.32779124492e+18,0.0,0.0,   0:00:30,   0:09:50
15773.933612004832,1.32779124492e+18,0.0,0.0,   0:00:31,   0:09:51
15629.317319392145,1.32779124492e+18,0.0,0.0,   0:00:32,   0:09:53
15486.026876919534,1.32779124492e+18,0.0,0.0,   0:00:33,   0:09:54
15344.050129119854,1.32779124492e+18,0.0,0.0,   0:00:33,   0:09:55
15203.375031967948,1.32779124492e+18,0.0,0.0,   0:00:34,   0:09:51
15063.989651858945,1.32779124492e+18,0.0,0.0,   0:00:34,   0:09:53
14925.882164595921,1.32779124492e+18,0.0,0.0,   0:00:35,   0:09:54
14789.040854386847,1.32779124492e+18,0.0,0.0,   0:00:36,   0:09:55
14653.454112850717,1.32779124492e+18,0.0,0.0,   0:00:37,   0:09:56
14519.110438032802,1.32779124492e+18,0.0,0.0,   0:00:37,   0:09:54
14385.99843342892,1.32779124492e+18,0.0,0.0,   0:00:38,   0:09:50
14254.106807018688,1.32779124492e+18,0.0,0.0,   0:00:38,   0:09:48
14123.424370307563,1.32779124492e+18,0.0,0.0,   0:00:39,   0:09:46
13993.940037377753,1.32779124492e+18,1.0,0.0,   0:00:39,   0:09:42
13865.642823947768,1.32779124492e+18,0.0,0.0,   0:00:40,   0:09:43
13738.521846440613,1.32779124492e+18,0.0,0.0,   0:00:40,   0:09:40
13612.566321060529,1.32779124492e+18,0.0,0.0,   0:00:41,   0:09:37
13487.76556287819,1.32779124492e+18,1.0,0.0,   0:00:41,   0:09:33
13364.10898492429,1.32779124492e+18,0.0,0.0,   0:00:42,   0:09:34
13241.586097291443,1.32779124492e+18,1.0,0.0,   0:00:42,   0:09:31
13120.186506244314,1.32779124492e+18,0.0,0.0,   0:00:43,   0:09:32
12999.8999133379,1.32779124492e+18,0.0,0.0,   0:00:44,   0:09:33
12880.716114543911,1.32779124492e+18,1.0,0.0,   0:00:44,   0:09:30
12762.624999385156,1.32779124492e+18,0.0,0.0,   0:00:45,   0:09:27
12645.616550077852,1.32779124492e+18,0.0,0.0,   0:00:45,   0:09:24
12529.680840681805,1.32779124492e+18,0.0,0.0,   0:00:46,   0:09:25
12414.8080362584,1.32779124492e+18,0.0,0.0,   0:00:46,   0:09:23
12300.988392036274,1.32779124492e+18,0.0,0.0,   0:00:47,   0:09:20
12188.212252584657,1.32779124492e+18,0.0,0.0,   0:00:47,   0:09:17
12076.470050994316,1.32779124492e+18,0.0,0.0,   0:00:48,   0:09:15
11965.752308065956,1.32779124492e+18,0.0,0.0,   0:00:48,   0:09:16
